Q0,"how big is bmc software in houston , tx",0,"BMC Software , Inc. is an American company specializing in Business Service Management ( BSM ) software ."
Q0,"how big is bmc software in houston , tx",0,"Headquartered in Houston , Texas , BMC develops , markets and sells software used for multiple functions , including IT service management , data center automation , performance management , virtualization lifecycle management and cloud computing management ."
Q0,"how big is bmc software in houston , tx",0,"The name `` BMC '' is taken from the surnames of its three founders—Scott Boulette , John Moores , and Dan Cloer ."
Q0,"how big is bmc software in houston , tx",1,"Employing over 6,000 , BMC is often credited with pioneering the BSM concept as a way to help better align IT operations with business needs ."
Q0,"how big is bmc software in houston , tx",1,"For 2011 , the company recorded an annual revenue of $ 2.1 billion , making it the # 20 largest software company in terms of revenue for that year ."
Q1,how long was i love lucy on the air,0,"I Love Lucy is an American television sitcom starring Lucille Ball , Desi Arnaz , Vivian Vance , and William Frawley ."
Q1,how long was i love lucy on the air,1,"The black-and-white series originally ran from October 15 , 1951 , to May 6 , 1957 , on the Columbia Broadcasting System ( CBS ) ."
Q1,how long was i love lucy on the air,0,"After the series ended in 1957 , however , a modified version continued for three more seasons with 13 one-hour specials , running from 1957 to 1960 , known first as The Lucille Ball-Desi Arnaz Show and later in reruns as The Lucy–Desi Comedy Hour ."
Q1,how long was i love lucy on the air,0,"I Love Lucy was the most watched show in the United States in four of its six seasons , and was the first to end its run at the top of the Nielsen ratings ( an accomplishment later matched by The Andy Griffith Show and Seinfeld ) ."
Q1,how long was i love lucy on the air,0,I Love Lucy is still syndicated in dozens of languages across the world .
Q1,how long was i love lucy on the air,0,"The show was the first scripted television program to be shot on 35 mm film in front of a studio audience , and won five Emmy Awards and received numerous nominations ."
Q1,how long was i love lucy on the air,0,"In 2002 , it ranked second on TV Guide 's list of television 's greatest shows , behind Seinfeld and ahead of The Honeymooners ."
Q1,how long was i love lucy on the air,0,"In 2007 , it was listed as one of Time magazine 's `` 100 Best TV Shows of All-TIME . ''"
Q1,how long was i love lucy on the air,0,"I Love Lucy remains popular , with an American audience of 40 million each year ."
Q2,how did armando christian perez become famous,1,"Armando Pérez ( born January 15 , 1981 ) , better known by his stage name Pitbull , is an American rapper , songwriter , and record producer ."
