dev1,who has the most to lose,This forecast is deflated as much as New England Patriots footballs!,0
dev1,who has the most to lose,I apologize.,0
dev1,who has the most to lose,W NJ has the most to lose.,1
dev1,who has the most to lose,"Dave Curren (@DaveCurren) January 27, 2015",0
dev2,what is deflated as much as the new england patriot footballs,This forecast is deflated as much as New England Patriots footballs!,0
dev2,what is deflated as much as the new england patriot footballs,I apologize.,0
dev2,what is deflated as much as the new england patriot footballs,W NJ has the most to lose.,0
dev2,what is deflated as much as the new england patriot footballs,"Dave Curren (@DaveCurren) January 27, 2015",0
dev3,"what is this user ""losing""",The #endangeredriver would be a sexy bastard in this channel if it had water.,1
dev3,"what is this user ""losing""",Quick turns.,0
dev3,"what is this user ""losing""",Narrow.,0
dev3,"what is this user ""losing""","(I'm losing it) John D. Sutter (@jdsutter) June 21, 2014",1
dev4,what hashtag was used?,The #endangeredriver would be a sexy bastard in this channel if it had water.,1
dev4,what hashtag was used?,Quick turns.,0
dev4,what hashtag was used?,Narrow.,0
dev4,what hashtag was used?,"(I'm losing it) John D. Sutter (@jdsutter) June 21, 2014",0
dev5,"who answered kemba's ""floater""?",MONSTARS BASKETBALL @M0NSTARSBBALLWiggins answers Kemba's floater with a three!,1
dev5,"who answered kemba's ""floater""?",game tied 106-106.,0
dev5,"who answered kemba's ""floater""?",8.9 to play.,0
dev5,"who answered kemba's ""floater""?","CHA ball!12/4/2016, 2:26:30 AM",0
dev6,what is the game tied at?,MONSTARS BASKETBALL @M0NSTARSBBALLWiggins answers Kemba's floater with a three!,0
dev6,what is the game tied at?,game tied 106-106.,1
dev6,what is the game tied at?,8.9 to play.,0
dev6,what is the game tied at?,"CHA ball!12/4/2016, 2:26:30 AM",0
dev7,what was the score of the game?,MONSTARS BASKETBALL @M0NSTARSBBALLWiggins answers Kemba's floater with a three!,0
dev7,what was the score of the game?,game tied 106-106.,1
dev7,what was the score of the game?,8.9 to play.,0
dev7,what was the score of the game?,"CHA ball!12/4/2016, 2:26:30 AM",0
dev8,whose floater did wiggins answer?,MONSTARS BASKETBALL @M0NSTARSBBALLWiggins answers Kemba's floater with a three!,1
dev8,whose floater did wiggins answer?,game tied 106-106.,0
dev8,whose floater did wiggins answer?,8.9 to play.,0
dev8,whose floater did wiggins answer?,"CHA ball!12/4/2016, 2:26:30 AM",0
dev9,what did akers just see in the sky?,2014,0
dev10,what is akers reaction to a star?,2014,0
