tc_2,Who was the man behind The Chipmunks?,David Seville,1
tc_13,What star sign is Jamie Lee Curtis?,Scorpio,1
tc_13,What star sign is Jamie Lee Curtis?,Skorpio,1
tc_13,What star sign is Jamie Lee Curtis?,Scorpio (disambiguation),1
tc_33,Which Lloyd Webber musical premiered in the US on 10th December 1993?,Sunset Blvd,1
tc_33,Which Lloyd Webber musical premiered in the US on 10th December 1993?,West Sunset Boulevard,1
tc_33,Which Lloyd Webber musical premiered in the US on 10th December 1993?,Sunset Boulevard,1
tc_33,Which Lloyd Webber musical premiered in the US on 10th December 1993?,Sunset Bulevard,1
tc_33,Which Lloyd Webber musical premiered in the US on 10th December 1993?,Sunset Blvd.,1
tc_40,Who was the next British Prime Minister after Arthur Balfour?,Sir Henry Campbell-Bannerman,1
tc_40,Who was the next British Prime Minister after Arthur Balfour?,Campbell-Bannerman,1
tc_40,Who was the next British Prime Minister after Arthur Balfour?,Campbell Bannerman,1
tc_40,Who was the next British Prime Minister after Arthur Balfour?,Sir Henry Campbell Bannerman,1
tc_40,Who was the next British Prime Minister after Arthur Balfour?,Henry Campbell Bannerman,1
tc_40,Who was the next British Prime Minister after Arthur Balfour?,Henry Campbell-Bannerman,1
tc_49,Who had a 70s No 1 hit with Kiss You All Over?,Internal exile,1
tc_49,Who had a 70s No 1 hit with Kiss You All Over?,Exiles,1
tc_49,Who had a 70s No 1 hit with Kiss You All Over?,Transported for life,1
tc_49,Who had a 70s No 1 hit with Kiss You All Over?,Exile (politics and government),1
tc_49,Who had a 70s No 1 hit with Kiss You All Over?,Voluntary exile,1
tc_49,Who had a 70s No 1 hit with Kiss You All Over?,Sent into exile,1
tc_49,Who had a 70s No 1 hit with Kiss You All Over?,Exile and Banishment,1
tc_49,Who had a 70s No 1 hit with Kiss You All Over?,Self-exile,1
tc_49,Who had a 70s No 1 hit with Kiss You All Over?,Forced exile,1
tc_49,Who had a 70s No 1 hit with Kiss You All Over?,Exile,1
tc_49,Who had a 70s No 1 hit with Kiss You All Over?,Exile in Greek tragedy,1
tc_49,Who had a 70s No 1 hit with Kiss You All Over?,Banish,1
tc_49,Who had a 70s No 1 hit with Kiss You All Over?,Banishment,1
tc_56,What claimed the life of singer Kathleen Ferrier?,Cancer pathology,1
tc_56,What claimed the life of singer Kathleen Ferrier?,Deaths by cancer,1
tc_56,What claimed the life of singer Kathleen Ferrier?,Anti-cancer,1
tc_56,What claimed the life of singer Kathleen Ferrier?,Cancer (disease),1
tc_56,What claimed the life of singer Kathleen Ferrier?,Cancerophobia,1
tc_56,What claimed the life of singer Kathleen Ferrier?,Malignant lesion,1
tc_56,What claimed the life of singer Kathleen Ferrier?,Cancer medication,1
tc_56,What claimed the life of singer Kathleen Ferrier?,Malignant tumors,1
tc_56,What claimed the life of singer Kathleen Ferrier?,Cancer signs,1
tc_56,What claimed the life of singer Kathleen Ferrier?,Malignant neoplasm,1
tc_56,What claimed the life of singer Kathleen Ferrier?,Invasive (cancer),1
tc_56,What claimed the life of singer Kathleen Ferrier?,Malignant Neoplasms,1
tc_56,What claimed the life of singer Kathleen Ferrier?,Malignant growth,1
tc_56,What claimed the life of singer Kathleen Ferrier?,Sporadic cancer,1
tc_56,What claimed the life of singer Kathleen Ferrier?,Malignant cancer,1
tc_56,What claimed the life of singer Kathleen Ferrier?,Tumour virus,1
tc_56,What claimed the life of singer Kathleen Ferrier?,Cancer en cuirasse,1
tc_56,What claimed the life of singer Kathleen Ferrier?,Microtumor,1
tc_56,What claimed the life of singer Kathleen Ferrier?,Malignant neoplasms,1
tc_56,What claimed the life of singer Kathleen Ferrier?,Malignant tumour,1
tc_56,What claimed the life of singer Kathleen Ferrier?,Carcinophobia,1
