1.5,What is Crips ' gang color ?,"Prosecutors said the '' rampage of murder and mayhem '' was carried out with bullets that had been painted blue , the Crips ' signature color .",1
1.5,What is Crips ' gang color ?,Two men were convicted Monday of abducting and killing two young women and wounding a third woman as part of a gang initiation .,0
1.5,What is Crips ' gang color ?,"Prosecutors said Queen , Tirado and other members of the Crips gang randomly picked the women as part of an initiation ritual in 1998 .",0
1.5,What is Crips ' gang color ?,"ROUND ROCK , Texas _ Fearful that a gang called the Bloods would terrorize the town and her students , too , the principal of Round Rock High School decided one day to ban the color red .",0
1.5,What is Crips ' gang color ?,"Red was the gang 's color , said Sherry Blackett , the new principal of the town 's largest high school .",0
1.5,What is Crips ' gang color ?,Red was the color of violence .,0
1.5,What is Crips ' gang color ?,"Red was a color she connected with the town 's first drive -by shooting late last month , the vandalism of a school art project one week later and frequent fights among students .",0
1.5,What is Crips ' gang color ?,"`` I 'm trying to create an environment that will not allow gangs to flourish , so I banned the color red , '' she said .",0
1.5,What is Crips ' gang color ?,"The principal , who spent most of her career in Corpus Christi , Texas , added that she knew of kids killed for wearing gang colors .",0
1.5,What is Crips ' gang color ?,"Red 's a good color , '' said Andrea Miller , a sophomore .",0
1.5,What is Crips ' gang color ?,`` For somebody like me to have a color banned from my wardrobe is really kind of silly .,0
1.5,What is Crips ' gang color ?,"Indeed , local police have identified at least six colors associated with gangs , including the color maroon , which is one of the school colors of Round Rock High .",0
1.5,What is Crips ' gang color ?,"Hampton said the vandalism at the school , the defacing of artwork , did not appear gang -related , in spite of the fact that it was carried out with red spray paint .",0
1.5,What is Crips ' gang color ?,"`` I would say this is not a case of gang graffiti , '' said Sgt .",0
1.5,What is Crips ' gang color ?,"Jack Abbott , gang specialist for the Round Rock police force .",0
1.5,What is Crips ' gang color ?,"`` That was n't the purpose of the shooting , because of the color red , '' he said .",0
1.5,What is Crips ' gang color ?,"`` He thinks he ought to be able to wear whatever color he wants and I agree , '' she said .",0
1.5,What is Crips ' gang color ?,"`` You should n't punish the kids for something that may or may not happen , and banning a color is silly .",0
1.5,What is Crips ' gang color ?,Are we advertising gang colors by flying our flags outside the school ? '',0
1.5,What is Crips ' gang color ?,"What bothers her most , she said , is it appeared to be a selective color ban aimed at minority students .",0
